animal	sexo	controle	idade	peso
98	1	11	63	1360
98	1	12	70	1700
98	1	13	77	2100
98	1	14	84	2113
98	1	15	90	2470
99	2	1	0	44
99	2	2	1	51
99	2	3	7	102
99	2	4	14	218
99	2	5	21	254
99	2	6	28	279
99	2	7	35	351
99	2	8	42	520
99	2	9	49	669
99	2	10	56	875
99	2	11	63	1060
99	2	12	70	1240
99	2	13	77	1510
99	2	14	84	1453
99	2	15	90	1640
100	2	1	0	32
100	2	2	1	43
100	2	3	7	117
100	2	4	14	191
100	2	5	21	278
100	2	6	28	330
100	2	7	35	464
100	2	8	42	800
100	2	9	49	932
100	2	10	56	1155
100	2	11	63	1260
100	2	12	70	1440
100	2	13	77	1580
100	2	14	84	1495
100	2	15	90	1680
120	2	1	0	43
120	2	2	1	53
120	2	4	14	193
120	2	5	21	346
120	2	6	28	494
120	2	7	35	708
120	2	8	42	770
120	2	9	49	960
120	2	10	56	1100
120	2	11	63	1305
120	2	12	70	1260
120	2	13	77	1320
120	2	14	84	1360
121	2	1	0	38
121	2	2	1	47
121	2	4	14	172
121	2	5	21	336
121	2	6	28	538
121	2	7	35	792
121	2	8	42	900
121	2	9	49	1170
121	2	10	56	1325
121	2	11	63	1630
121	2	12	70	1530
121	2	13	77	1635
121	2	14	84	1665
122	2	1	0	40
122	2	2	1	50
122	2	4	14	193
122	2	5	21	339
122	2	6	28	531
122	2	7	35	769
122	2	8	42	880
122	2	9	49	1005
122	2	10	56	1200
122	2	11	63	1635
122	2	12	70	1575
122	2	13	77	1670
122	2	14	84	1795
123	2	1	0	29
123	2	2	1	38
123	2	3	7	99
123	2	4	14	180
123	2	5	21	309
123	2	6	28	521
123	2	7	35	657
123	2	8	42	897
123	2	9	49	1047
123	2	10	56	1155
123	2	11	63	1300
123	2	12	70	1395
123	2	13	77	1435
123	2	14	84	1530
123	2	15	90	1520
124	1	1	0	38
124	1	2	1	47
124	1	4	14	172
124	1	5	21	335
124	1	6	28	572
124	1	7	35	896
124	1	8	42	1090
124	1	9	49	1410
124	1	10	56	1705
124	1	11	63	2120
124	1	12	70	2060
124	1	13	77	2210
124	1	14	84	2450
125	2	1	0	33
125	2	2	1	45
125	2	3	7	126
125	2	4	14	204
125	2	5	21	368
125	2	6	28	600
125	2	7	35	792
125	2	8	42	997
125	2	9	49	1089
125	2	10	56	1265
125	2	11	63	1392
125	2	12	70	1475
125	2	13	77	1545
125	2	14	84	1655
125	2	15	90	1675
126	2	1	0	30
126	2	2	1	41
126	2	3	7	117
126	2	4	14	185
126	2	5	21	283
126	2	6	28	531
126	2	7	35	750
126	2	8	42	955
126	2	9	49	1052
126	2	10	56	1210
126	2	11	63	1247
126	2	12	70	1450
126	2	13	77	1485
126	2	14	84	157
126	2	15	90	1620
127	1	1	0	43
127	1	2	1	51
127	1	3	7	109
127	1	4	14	202
127	1	5	21	341
127	1	6	28	631
127	1	7	35	884
127	1	8	42	1217
127	1	9	49	1402
127	1	10	56	1835
127	1	11	63	1972
127	1	12	70	2385
127	1	13	77	2600
127	1	14	84	2890
127	1	15	90	3275
128	1	1	0	34
128	1	2	1	42
128	1	3	7	95
128	1	4	14	184
128	1	5	21	294
128	1	6	28	581
128	1	7	35	781
128	1	8	42	1020
128	1	9	49	1208
128	1	10	56	1515
128	1	11	63	1848
128	1	12	70	2075
128	1	13	77	2300
128	1	14	84	2530
128	1	15	90	2675
129	1	1	0	32
129	1	2	1	45
129	1	3	7	136
129	1	4	14	250
129	1	5	21	428
129	1	6	28	876
129	1	7	35	1224
129	1	8	42	1409
129	1	9	49	1754
129	1	10	56	2060
129	1	11	63	2125
129	1	12	70	2565
129	1	13	77	2775
129	1	14	84	2985
129	1	15	90	3225
130	2	1	0	29
130	2	2	1	39
130	2	3	7	109
130	2	4	14	229
130	2	5	21	370
130	2	6	28	618
130	2	7	35	805
130	2	8	42	951
130	2	9	49	1387
130	2	10	56	1225
130	2	11	63	1344
130	2	12	70	1390
130	2	13	77	1425
130	2	14	84	1455
130	2	15	90	1505
131	2	1	0	35
131	2	2	1	46
131	2	3	7	125
131	2	4	14	214
131	2	5	21	388
131	2	6	28	675
131	2	7	35	873
131	2	8	42	1108
131	2	9	49	1131
131	2	10	56	1295
131	2	11	63	1087
131	2	12	70	1520
131	2	13	77	1555
131	2	14	84	1660
131	2	15	90	1640
132	2	1	0	33
132	2	2	1	44
132	2	3	7	118
132	2	4	14	219
132	2	5	21	350
132	2	6	28	663
132	2	7	35	868
132	2	8	42	1012
132	2	9	49	1131
132	2	10	56	1300
132	2	11	63	1468
132	2	12	70	1580
132	2	13	77	1620
132	2	14	84	1715
132	2	15	90	1715
133	1	1	0	28
133	1	2	1	39
133	1	3	7	119
133	1	4	14	127
133	1	5	21	209
133	1	6	28	398
133	1	7	35	695
133	1	8	42	898
133	1	9	49	1151
133	1	10	56	1405
133	1	11	63	1342
133	1	12	70	1970
133	1	13	77	2195
133	1	14	84	2470
133	1	15	90	2510
134	1	1	0	38
134	1	2	1	42
134	1	3	7	70
134	1	4	14	196
134	1	5	21	370
134	1	6	28	578
