pecan	trat	rep	unE	ph	turb1	turb
2	4	3	342	6.98	0.5	0.5
2	5	3	352	4.26	0.1	0.1
2	1	3	312	4.93	0	1.0E-07
2	2	3	322	5.67	0.8	0.8
2	3	3	332	6.13	0.6	0.6
2	4	3	342	6.51	0.9	0.9
2	1	3	312	5.35	0	1.0E-07
2	2	3	322	5.96	0.3	0.3
2	3	3	332	5.99	0.5	0.5
2	4	3	342	6.45	0.5	0.5
2	1	3	312	4.42	0.1	0.1
2	2	3	322	5.39	0.4	0.4
2	3	3	332	6.01	0.5	0.5
2	4	3	342	6.25	0.6	0.6
2	1	3	312	3.84	0.1	0.1
2	2	3	322	5.65	0.7	0.7
2	3	3	332	6.04	0.6	0.6
2	4	3	342	6.72	0.7	0.7
2	1	3	312	4.31	0.2	0.2
2	2	3	322	5.72	0.7	0.7
2	3	3	332	5.97	0.6	0.6
2	4	3	342	6.45	1.4	1.4
2	1	3	312	4.74	0.2	0.2
2	2	3	322	6	0.7	0.7
2	3	3	332	6.01	0.8	0.8
2	4	3	342	6.71	1.5	1.5
2	1	3	312	4.82	0.1	0.1
2	2	3	322	5.97	0.8	0.8
2	3	3	332	5.99	0.7	0.7
2	4	3	342	6.41	1.8	1.8
2	1	3	312	4.58	0.1	0.1
2	2	3	322	5.86	1.1	1.1
2	3	3	332	6.01	1	1
2	4	3	342	6.33	0.7	0.7
2	1	3	312	4.67	0.1	0.1
2	2	3	322	5.96	0.5	0.5
2	3	3	332	6.04	0.4	0.4
2	4	3	342	6.5	1.1	1.1
2	1	3	312	4.62	0.1	0.1
2	2	3	322	5.65	0.5	0.5
2	3	3	332	6.08	1	1
2	4	3	342	6.35	1	1
2	1	3	312	4.59	0.2	0.2
2	2	3	322	5.7	0.6	0.6
2	3	3	332	5.88	0.5	0.5
2	4	3	342	6.3	1	1
3	1	1	113	5.34	0.1	0.1
3	2	1	123	6	0.3	0.3
3	3	1	133	6.26	0.3	0.3
3	4	1	143	6.8	0.5	0.5
3	5	1	153	5.61	0	1.0E-07
3	1	1	113	4.95	0.2	0.2
3	2	1	123	6	0.4	0.4
3	3	1	133	6.28	0.3	0.3
3	4	1	143	6.1	1.1	1.1
3	5	1	153	5.6	0.1	0.1
3	1	1	113	5.43	0.1	0.1
3	2	1	123	6.07	0.3	0.3
3	3	1	133	6.26	0.3	0.3
3	4	1	143	5.98	1	1
3	5	1	153	6	0.2	0.2
3	1	1	113	487	0.1	0.1
3	2	1	123	6.08	0.5	0.5
3	3	1	133	5.99	0.3	0.3
3	4	1	143	5.79	0.7	0.7
3	5	1	153	5.27	0	1.0E-07
3	1	1	113	4.89	0.3	0.3
3	2	1	123	5.71	0.4	0.4
3	3	1	133	5.79	0.4	0.4
3	4	1	143	5.67	0.7	0.7
3	5	1	153	4.98	0.1	0.1
3	1	1	113	4.9	0.8	0.8
3	2	1	123	5.7	0.5	0.5
3	3	1	133	5.72	0.7	0.7
3	4	1	143	5.75	1	1
3	1	1	113	4.95	0.4	0.4
3	2	1	123	5.55	0.5	0.5
3	3	1	133	5.71	0.6	0.6
3	4	1	143	5.72	1	1
3	1	1	113	4.75	0.3	0.3
3	2	1	123	5.5	0.4	0.4
3	3	1	133	5.64	0.5	0.5
3	4	1	143	5.68	0.9	0.9
3	1	1	113	4.71	0.6	0.6
3	2	1	123	5.49	0.6	0.6
3	3	1	133	5.62	0.6	0.6
3	4	1	143	5.64	1.9	1.9
3	1	1	113	4.7	0.4	0.4
3	2	1	123	5.46	0.6	0.6
3	3	1	133	5.53	0.5	0.5
3	4	1	143	5.54	2.6	2.6
3	1	1	113	4.79	0.2	0.2
3	2	1	123	5.56	0.6	0.6
3	3	1	133	5.68	0.7	0.7
3	4	1	143	5.84	1.5	1.5
3	1	1	113	4.88	0.3	0.3
3	2	1	123	5.51	0.7	0.7
3	3	1	133	5.62	0.6	0.6
3	4	1	143	5.82	0.7	0.7
3	1	1	113	4.79	0.2	0.2
3	2	1	123	5.75	0.9	0.9
3	3	1	133	5.8	0.6	0.6
3	4	1	143	5.95	0.7	0.7
3	1	1	113	4.81	0.1	0.1
3	2	1	123	5.68	0.6	0.6
3	3	1	133	5.62	0.5	0.5
3	4	1	143	5.59	1.1	1.1
3	1	1	113	4.72	0.2	0.2
3	2	1	123	5.52	0.6	0.6
3	3	1	133	5.79	0.5	0.5
3	4	1	143	5.62	1.5	1.5
3	1	1	113	4.9	0.2	0.2
3	2	1	123	5.58	0.5	0.5
3	3	1	133	5.62	0.4	0.4
3	4	1	143	5.55	0.9	0.9
3	1	2	213	5.21	0.2	0.2
3	2	2	223	6.11	0.3	0.3
3	3	2	233	6.32	0.3	0.3
3	4	2	243	6.22	0.5	0.5
3	5	2	253	5.59	0	1.0E-07
3	1	2	213	4.94	0	1.0E-07
3	2	2	223	6.01	0.4	0.4
3	3	2	233	6	0.5	0.5
3	4	2	243	6.1	0.8	0.8
3	5	2	253	5.68	0.1	0.1
3	1	2	213	5.24	0.1	0.1
3	2	2	223	6	0.4	0.4
3	3	2	233	6.02	0.5	0.5
3	4	2	243	5.96	0.5	0.5
3	5	2	253	5.98	0.2	0.2
3	1	2	213	4.88	0	1.0E-07
3	2	2	223	5.96	0.6	0.6
3	3	2	233	5.69	0.6	0.6
3	4	2	243	5.71	0.8	0.8
3	5	2	253	5.24	0	1.0E-07
3	1	2	213	4.82	0.5	0.5
3	2	2	223	5.65	0.4	0.4
3	3	2	233	5.59	0.5	0.5
3	4	2	243	5.58	1	1
3	5	2	253	5.02	0	1.0E-07
3	1	2	213	4.81	0.8	0.8
3	2	2	223	5.63	0.5	0.5
3	3	2	233	5.52	0.6	0.6
3	4	2	243	5.72	0.8	0.8
3	1	2	213	4.7	0.3	0.3
3	2	2	223	5.52	0.5	0.5
3	3	2	233	5.45	0.8	0.8
3	4	2	243	5.73	0.7	0.7
3	1	2	213	4.63	0.4	0.4
3	2	2	223	5.46	0.5	0.5
3	3	2	233	5.43	0.7	0.7
3	4	2	243	5.72	0.6	0.6
3	1	2	213	4.65	0.4	0.4
3	2	2	223	5.43	0.5	0.5
3	3	2	233	5.79	0.7	0.7
3	4	2	243	5.5	2.2	2.2
3	1	2	213	4.63	0.3	0.3
3	2	2	223	5.4	0.6	0.6
3	3	2	233	5.32	0.7	0.7
3	4	2	243	5.56	1.4	1.4
3	1	2	213	4.85	0.3	0.3
3	2	2	223	5.52	0.6	0.6
3	3	2	233	5.47	0.7	0.7
3	4	2	243	5.9	1.7	1.7
3	1	2	213	4.83	0.2	0.2
3	2	2	223	5.47	0.5	0.5
3	3	2	233	5.43	0.7	0.7
3	4	2	243	5.85	0.5	0.5
3	1	2	213	4.75	0.1	0.1
3	2	2	223	5.71	0.7	0.7
3	3	2	233	5.71	0.7	0.7
3	4	2	243	5.81	1	1
3	1	2	213	4.79	0.2	0.2
3	2	2	223	5.91	0.6	0.6
3	3	2	233	5.59	0.7	0.7
3	4	2	243	5.62	1.5	1.5
3	1	2	213	4.83	0.4	0.4
3	2	2	223	5.48	0.5	0.5
3	3	2	233	5.72	0.7	0.7
3	4	2	243	5.55	0.9	0.9
3	1	2	213	4.93	0.3	0.3
3	2	2	223	5.55	0.5	0.5
3	3	2	233	5.45	0.5	0.5
3	4	2	243	5.72	1	1
3	1	3	313	4.9	0.2	0.2
3	2	3	323	5.97	0.3	0.3
3	3	3	333	6.29	0.5	0.5
3	4	3	343	6.19	0.4	0.4
3	5	3	353	5.54	0	1.0E-07
3	1	3	313	4.83	0.4	0.4
3	2	3	323	6.22	0.3	0.3
3	3	3	333	6.26	0.3	0.3
3	4	3	343	6.1	1.3	1.3
3	5	3	353	5.56	0.1	0.1
3	1	3	313	4.87	0.6	0.6
3	2	3	323	6.06	0.4	0.4
3	3	3	333	6.09	0.7	0.7
3	4	3	343	5.88	0.8	0.8
3	5	3	353	5.93	0.2	0.2
3	1	3	313	4.78	0.2	0.2
3	2	3	323	5.9	0.5	0.5
3	3	3	333	5.85	0.5	0.5
3	4	3	343	5.69	0.8	0.8
3	5	3	353	5.06	0.1	0.1
3	1	3	313	4.94	0.1	0.1
3	2	3	323	5.65	0.4	0.4
3	3	3	333	5.67	0.5	0.5
3	4	3	343	5.94	0.9	0.9
3	5	3	353	5.02	0.1	0.1
3	1	3	313	4.9	0	1.0E-07
3	2	3	323	5.65	0.5	0.5
3	3	3	333	5.58	0.6	0.6
3	4	3	343	5.62	1	1
3	1	3	313	4.89	0.1	0.1
3	2	3	323	5.5	0.7	0.7
3	3	3	333	5.54	0.5	0.5
3	4	3	343	5.43	0.7	0.7
3	1	3	313	4.24	0.2	0.2
3	2	3	323	5.47	0.6	0.6
3	3	3	333	5.51	0.5	0.5
3	4	3	343	5.66	0.7	0.7
3	1	3	313	4.71	0.4	0.4
3	2	3	323	5.46	0.5	0.5
3	3	3	333	5.77	0.6	0.6
3	4	3	343	5.49	1.4	1.4
3	1	3	313	4.61	0.3	0.3
3	2	3	323	5.43	0.5	0.5
3	3	3	333	5.41	0.7	0.7
3	4	3	343	5.41	3.9	3.9
3	1	3	313	4.93	0.2	0.2
3	2	3	323	5.49	0.6	0.6
3	3	3	333	5.71	0.7	0.7
3	4	3	343	5.83	1.9	1.9
3	1	3	313	5	0.3	0.3
